0,1,2,3,4,5,6,7,8,9,10
pork,tropical fruit,whole milk,chewing gum,,,,,,,
napkins,whole milk,butter milk,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
root vegetables,grapes,,,,,,,,,
shopping bags,fruit/vegetable juice,,,,,,,,,
herbs,pip fruit,,,,,,,,,
ready soups,shopping bags,,,,,,,,,
tropical fruit,whole milk,whole milk,,,,,,,,
whole milk,soda,,,,,,,,,
yogurt,potato products,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
rolls/buns,onions,,,,,,,,,
citrus fruit,pork,pip fruit,yogurt,brown bread,male cosmetics,,,,,
specialty chocolate,brandy,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
yogurt,frozen potato products,,,,,,,,,
bottled water,soda,,,,,,,,,
UHT-milk,dishes,frozen dessert,,,,,,,,
beef,whole milk,frozen dessert,whipped/sour cream,,,,,,,
whole milk,chocolate,,,,,,,,,
sausage,pip fruit,hard cheese,frozen vegetables,,,,,,,
pastry,chewing gum,,,,,,,,,
frankfurter,sausage,yogurt,soda,coffee,,,,,,
whole milk,waffles,,,,,,,,,
pastry,newspapers,,,,,,,,,
bottled beer,whole milk,shopping bags,,,,,,,,
citrus fruit,berries,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
shopping bags,other vegetables,newspapers,domestic eggs,,,,,,,
napkins,soda,,,,,,,,,
waffles,shopping bags,sparkling wine,,,,,,,,
bottled beer,processed cheese,,,,,,,,,
pork,pastry,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
chicken,flower (seeds),,,,,,,,,
ham,pickled vegetables,,,,,,,,,
whole milk,yogurt,,,,,,,,,
hard cheese,domestic eggs,,,,,,,,,
beverages,domestic eggs,,,,,,,,,
hygiene articles,margarine,,,,,,,,,
whole milk,bottled water,,,,,,,,,
onions,cat food,white wine,,,,,,,,
other vegetables,newspapers,,,,,,,,,
meat,yogurt,,,,,,,,,
hygiene articles,dessert,,,,,,,,,
sausage,sausage,,,,,,,,,
onions,specialty chocolate,,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
finished products,canned fish,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
whole milk,whipped/sour cream,whole milk,yogurt,whipped/sour cream,,,,,,
other vegetables,citrus fruit,,,,,,,,,
soda,napkins,,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
chicken,beef,pork,beef,newspapers,dessert,margarine,brown bread,newspapers,,
pork,brown bread,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
sugar,skin care,,,,,,,,,
photo/film,other vegetables,,,,,,,,,
pip fruit,pastry,,,,,,,,,
hamburger meat,beverages,margarine,,,,,,,,
candles,canned fish,oil,,,,,,,,
butter milk,soda,,,,,,,,,
pork,tropical fruit,,,,,,,,,
bottled beer,curd,kitchen towels,,,,,,,,
pastry,yogurt,,,,,,,,,
pip fruit,male cosmetics,dishes,dessert,rice,,,,,,
salt,soda,rolls/buns,,,,,,,,
other vegetables,soda,,,,,,,,,
whole milk,flour,whole milk,margarine,,,,,,,
bottled beer,other vegetables,,,,,,,,,
citrus fruit,soda,,,,,,,,,
kitchen utensil,bottled water,rolls/buns,pasta,bottled water,,,,,,
tropical fruit,other vegetables,,,,,,,,,
chicken,long life bakery product,,,,,,,,,
napkins,pork,,,,,,,,,
dessert,rolls/buns,,,,,,,,,
pot plants,pastry,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
photo/film,whole milk,,,,,,,,,
pork,rolls/buns,,,,,,,,,
pork,house keeping products,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
misc. beverages,bottled beer,other vegetables,cream cheese ,,,,,,,
soda,brown bread,,,,,,,,,
beverages,yogurt,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
whole milk,beverages,,,,,,,,,
frankfurter,whipped/sour cream,bottled water,,,,,,,,
grapes,yogurt,frozen potato products,,,,,,,,
soap,candy,,,,,,,,,
domestic eggs,frozen vegetables,,,,,,,,,
seasonal products,bottled beer,,,,,,,,,
onions,canned fruit,,,,,,,,,
bottled beer,whole milk,cream cheese ,,,,,,,,
root vegetables,cream cheese ,,,,,,,,,
whole milk,sliced cheese,dish cleaner,,,,,,,,
sausage,Instant food products,,,,,,,,,
root vegetables,whole milk,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
liver loaf,processed cheese,canned beer,,,,,,,,
specialty chocolate,hamburger meat,frozen fish,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
tropical fruit,other vegetables,sugar,,,,,,,,
fruit/vegetable juice,frozen vegetables,,,,,,,,,
baking powder,yogurt,,,,,,,,,
pork,pastry,rolls/buns,,,,,,,,
bottled water,berries,other vegetables,rolls/buns,,,,,,,
root vegetables,frozen vegetables,bottled water,cat food,,,,,,,
sausage,hamburger meat,,,,,,,,,
long life bakery product,soap,,,,,,,,,
rolls/buns,yogurt,napkins,yogurt,candy,sliced cheese,,,,,
cling film/bags,ham,,,,,,,,,
beef,soda,,,,,,,,,
root vegetables,frozen vegetables,pet care,,,,,,,,
bottled beer,sausage,candy,yogurt,,,,,,,
soda,shopping bags,,,,,,,,,
Instant food products,yogurt,,,,,,,,,
sausage,bottled water,,,,,,,,,
curd,other vegetables,,,,,,,,,
pork,canned beer,,,,,,,,,
curd,dessert,,,,,,,,,
pork,other vegetables,,,,,,,,,
root vegetables,bottled water,napkins,shopping bags,rice,,,,,,
beef,canned beer,,,,,,,,,
chicken,ice cream,bottled water,,,,,,,,
shopping bags,sparkling wine,,,,,,,,,
citrus fruit,soda,,,,,,,,,
chicken,whole milk,curd,frozen meals,beverages,,,,,,
root vegetables,sausage,root vegetables,other vegetables,long life bakery product,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
whipped/sour cream,oil,,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
waffles,whole milk,meat spreads,,,,,,,,
tropical fruit,sliced cheese,,,,,,,,,
salty snack,other vegetables,yogurt,other vegetables,,,,,,,
grapes,misc. beverages,,,,,,,,,
UHT-milk,whole milk,,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
hygiene articles,skin care,,,,,,,,,
mustard,salt,,,,,,,,,
sausage,butter,whole milk,,,,,,,,
hamburger meat,tropical fruit,soda,,,,,,,,
oil,whipped/sour cream,specialty cheese,soda,beverages,,,,,,
root vegetables,rice,,,,,,,,,
misc. beverages,yogurt,,,,,,,,,
sausage,misc. beverages,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
chicken,margarine,,,,,,,,,
domestic eggs,butter milk,long life bakery product,,,,,,,,
whole milk,canned beer,cat food,,,,,,,,
canned beer,pork,,,,,,,,,
chocolate,oil,domestic eggs,fruit/vegetable juice,frozen vegetables,rolls/buns,,,,,
frankfurter,red/blush wine,,,,,,,,,
frozen vegetables,newspapers,,,,,,,,,
other vegetables,bottled water,baking powder,,,,,,,,
beef,onions,,,,,,,,,
mustard,whipped/sour cream,,,,,,,,,
butter,whipped/sour cream,,,,,,,,,
pot plants,citrus fruit,whipped/sour cream,,,,,,,,
meat,canned beer,,,,,,,,,
cat food,rolls/buns,,,,,,,,,
soda,soda,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
frankfurter,butter,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
butter milk,margarine,,,,,,,,,
tropical fruit,misc. beverages,,,,,,,,,
yogurt,pasta,,,,,,,,,
pork,yogurt,,,,,,,,,
hamburger meat,cat food,margarine,,,,,,,,
whole milk,pip fruit,,,,,,,,,
butter milk,pickled vegetables,hygiene articles,,,,,,,,
tropical fruit,berries,beef,butter milk,yogurt,sliced cheese,,,,,
shopping bags,margarine,,,,,,,,,
ham,rolls/buns,,,,,,,,,
bottled beer,dishes,,,,,,,,,
whole milk,root vegetables,hygiene articles,,,,,,,,
white wine,butter,frozen fish,,,,,,,,
beef,white wine,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
shopping bags,domestic eggs,,,,,,,,,
sausage,pastry,whole milk,,,,,,,,
white bread,frozen vegetables,,,,,,,,,
soda,flower (seeds),,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
soda,rice,sweet spreads,,,,,,,,
pot plants,yogurt,cream cheese ,,,,,,,,
cake bar,Instant food products,,,,,,,,,
tropical fruit,chocolate,,,,,,,,,
frankfurter,bottled beer,pastry,,,,,,,,
white bread,other vegetables,,,,,,,,,
frozen fish,soda,vinegar,,,,,,,,
salty snack,butter milk,,,,,,,,,
root vegetables,frozen meals,,,,,,,,,
citrus fruit,hamburger meat,rolls/buns,,,,,,,,
citrus fruit,hard cheese,canned fish,,,,,,,,
bottled water,domestic eggs,,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
tea,beverages,,,,,,,,,
white bread,bottled water,,,,,,,,,
yogurt,soda,,,,,,,,,
pastry,pasta,,,,,,,,,
fish,root vegetables,chocolate,,,,,,,,
ham,white bread,long life bakery product,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
hard cheese,waffles,misc. beverages,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
whole milk,cookware,brown bread,bottled beer,,,,,,,
tropical fruit,condensed milk,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
chewing gum,bottled water,,,,,,,,,
candy,cream cheese ,brown bread,soda,,,,,,,
other vegetables,margarine,,,,,,,,,
whole milk,dishes,,,,,,,,,
root vegetables,napkins,,,,,,,,,
canned beer,brown bread,,,,,,,,,
pip fruit,tropical fruit,mustard,,,,,,,,
whole milk,sausage,whole milk,yogurt,cake bar,female sanitary products,soda,,,,
ice cream,hamburger meat,,,,,,,,,
root vegetables,whole milk,napkins,,,,,,,,
salt,seasonal products,,,,,,,,,
hard cheese,whole milk,,,,,,,,,
ready soups,baking powder,,,,,,,,,
soda,hard cheese,,,,,,,,,
ham,white bread,,,,,,,,,
citrus fruit,mustard,,,,,,,,,
chicken,cling film/bags,,,,,,,,,
canned beer,specialty chocolate,other vegetables,cream cheese ,,,,,,,
other vegetables,long life bakery product,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,
bottled beer,bottled water,rolls/buns,root vegetables,,,,,,,
root vegetables,shopping bags,,,,,,,,,
bottled water,meat spreads,,,,,,,,,
detergent,misc. beverages,,,,,,,,,
canned beer,spices,rolls/buns,frozen fish,,,,,,,
rolls/buns,napkins,bottled beer,,,,,,,,
coffee,yogurt,,,,,,,,,
root vegetables,bottled beer,,,,,,,,,
ham,tropical fruit,bottled beer,,,,,,,,
tropical fruit,long life bakery product,napkins,,,,,,,,
rolls/buns,specialty bar,,,,,,,,,
pork,semi-finished bread,,,,,,,,,
candy,frozen meals,,,,,,,,,
frozen vegetables,chicken,,,,,,,,,
rolls/buns,whipped/sour cream,waffles,rolls/buns,margarine,soda,salty snack,soda,canned beer,,
pastry,dishes,waffles,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
hard cheese,pastry,,,,,,,,,
other vegetables,whole milk,bottled beer,,,,,,,,
misc. beverages,rolls/buns,,,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
shopping bags,flower (seeds),curd cheese,decalcifier,,,,,,,
dessert,fruit/vegetable juice,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
rolls/buns,salty snack,brown bread,cream cheese ,,,,,,,
sausage,other vegetables,,,,,,,,,
tropical fruit,yogurt,sausage,rolls/buns,,,,,,,
pip fruit,beverages,zwieback,,,,,,,,
other vegetables,misc. beverages,,,,,,,,,
finished products,spread cheese,,,,,,,,,
chicken,beef,,,,,,,,,
chicken,pork,frozen fish,,,,,,,,
root vegetables,butter milk,shopping bags,cream cheese ,,,,,,,
ham,root vegetables,newspapers,other vegetables,,,,,,,
beef,mayonnaise,,,,,,,,,
fruit/vegetable juice,salt,,,,,,,,,
whole milk,liver loaf,yogurt,fruit/vegetable juice,,,,,,,
chicken,artif. sweetener,,,,,,,,,
root vegetables,cream cheese ,,,,,,,,,
yogurt,dental care,,,,,,,,,
cleaner,chewing gum,,,,,,,,,
brown bread,waffles,,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
coffee,soda,frozen vegetables,,,,,,,,
pastry,ketchup,,,,,,,,,
root vegetables,sliced cheese,newspapers,shopping bags,,,,,,,
frozen dessert,canned beer,,,,,,,,,
photo/film,white bread,,,,,,,,,
whole milk,pip fruit,softener,,,,,,,,
frozen vegetables,canned beer,,,,,,,,,
shopping bags,soda,,,,,,,,,
curd,brown bread,,,,,,,,,
frozen meals,canned beer,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
white bread,beef,coffee,flour,,,,,,,
pip fruit,pet care,bottled water,,,,,,,,
whole milk,red/blush wine,shopping bags,cream cheese ,canned beer,,,,,,
other vegetables,hygiene articles,,,,,,,,,
fish,newspapers,,,,,,,,,
other vegetables,dishes,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
hamburger meat,tropical fruit,beverages,yogurt,soda,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
rolls/buns,bathroom cleaner,,,,,,,,,
whole milk,softener,domestic eggs,soda,,,,,,,
cat food,newspapers,,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
whole milk,citrus fruit,,,,,,,,,
canned beer,tropical fruit,,,,,,,,,
root vegetables,dessert,,,,,,,,,
herbs,grapes,whipped/sour cream,,,,,,,,
bottled water,tropical fruit,shopping bags,,,,,,,,
butter milk,white wine,,,,,,,,,
whole milk,dessert,,,,,,,,,
tropical fruit,tropical fruit,,,,,,,,,
domestic eggs,domestic eggs,,,,,,,,,
other vegetables,shopping bags,other vegetables,,,,,,,,
finished products,pip fruit,root vegetables,canned fruit,,,,,,,
white bread,spread cheese,,,,,,,,,
soda,citrus fruit,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
whipped/sour cream,butter milk,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
whole milk,yogurt,frozen vegetables,,,,,,,,
yogurt,chewing gum,soda,oil,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
chicken,waffles,pip fruit,tropical fruit,pastry,bottled water,shopping bags,bottled water,,,
finished products,other vegetables,,,,,,,,,
whole milk,cat food,,,,,,,,,
pork,frozen meals,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
instant coffee,shopping bags,,,,,,,,,
canned beer,whipped/sour cream,misc. beverages,,,,,,,,
salty snack,white wine,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
specialty chocolate,specialty cheese,,,,,,,,,
UHT-milk,pip fruit,specialty chocolate,chewing gum,canned fruit,,,,,,
nuts/prunes,coffee,,,,,,,,,
rolls/buns,prosecco,,,,,,,,,
chicken,margarine,,,,,,,,,
other vegetables,frozen dessert,chewing gum,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
vinegar,butter,newspapers,,,,,,,,
bottled water,long life bakery product,root vegetables,mustard,,,,,,,
meat,tropical fruit,rolls/buns,,,,,,,,
napkins,napkins,,,,,,,,,
ham,bottled beer,,,,,,,,,
frankfurter,pastry,misc. beverages,,,,,,,,
newspapers,salty snack,pastry,,,,,,,,
frankfurter,brown bread,whole milk,root vegetables,,,,,,,
hygiene articles,white bread,,,,,,,,,
chicken,cling film/bags,rolls/buns,,,,,,,,
frankfurter,whole milk,fruit/vegetable juice,pasta,,,,,,,
frozen meals,ham,specialty chocolate,roll products ,,,,,,,
beef,pip fruit,bottled water,margarine,hygiene articles,,,,,,
whole milk,butter milk,beverages,,,,,,,,
whole milk,cat food,long life bakery product,,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
sausage,berries,soda,yogurt,,,,,,,
bottled beer,pasta,,,,,,,,,
turkey,UHT-milk,,,,,,,,,
rolls/buns,soda,,,,,,,,,
meat,root vegetables,sliced cheese,,,,,,,,
dessert,domestic eggs,candles,whole milk,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
baking powder,soda,,,,,,,,,
pip fruit,white bread,sliced cheese,,,,,,,,
root vegetables,ice cream,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
ham,curd cheese,,,,,,,,,
whole milk,yogurt,,,,,,,,,
white bread,rolls/buns,whipped/sour cream,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
root vegetables,bottled water,waffles,,,,,,,,
pork,pip fruit,,,,,,,,,
rolls/buns,processed cheese,,,,,,,,,
meat spreads,shopping bags,,,,,,,,,
pet care,other vegetables,,,,,,,,,
frankfurter,bottled beer,,,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
beverages,bottled water,,,,,,,,,
beef,white bread,frozen vegetables,,,,,,,,
coffee,napkins,,,,,,,,,
meat,citrus fruit,,,,,,,,,
bottled water,dessert,,,,,,,,,
domestic eggs,mayonnaise,,,,,,,,,
whole milk,yogurt,,,,,,,,,
rolls/buns,hygiene articles,,,,,,,,,
whole milk,margarine,,,,,,,,,
canned beer,coffee,,,,,,,,,
grapes,coffee,,,,,,,,,
other vegetables,chocolate,white wine,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
pip fruit,canned beer,pork,white bread,,,,,,,
sausage,tropical fruit,frozen vegetables,other vegetables,shopping bags,,,,,,
frankfurter,red/blush wine,other vegetables,,,,,,,,
beef,pastry,,,,,,,,,
meat,ham,male cosmetics,,,,,,,,
other vegetables,potato products,napkins,,,,,,,,
other vegetables,fruit/vegetable juice,coffee,,,,,,,,
ice cream,other vegetables,,,,,,,,,
dishes,shopping bags,hard cheese,other vegetables,,,,,,,
pip fruit,tropical fruit,,,,,,,,,
pastry,pip fruit,,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
pork,butter,,,,,,,,,
frankfurter,sausage,packaged fruit/vegetables,yogurt,bottled beer,shopping bags,,,,,
tropical fruit,yogurt,,,,,,,,,
pet care,whole milk,,,,,,,,,
soda,red/blush wine,,,,,,,,,
soda,grapes,,,,,,,,,
whole milk,pastry,,,,,,,,,
soda,seasonal products,,,,,,,,,
pip fruit,butter,,,,,,,,,
frankfurter,other vegetables,sugar,,,,,,,,
shopping bags,other vegetables,,,,,,,,,
sliced cheese,shopping bags,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
chocolate marshmallow,flour,,,,,,,,,
specialty chocolate,other vegetables,,,,,,,,,
frankfurter,bottled beer,,,,,,,,,
sausage,pip fruit,,,,,,,,,
pip fruit,chewing gum,,,,,,,,,
bottled water,coffee,,,,,,,,,
soda,salty snack,,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
packaged fruit/vegetables,canned beer,,,,,,,,,
citrus fruit,sausage,bottled beer,herbs,,,,,,,
brown bread,yogurt,,,,,,,,,
grapes,butter,,,,,,,,,
hamburger meat,flour,cling film/bags,,,,,,,,
soda,dessert,dishes,sugar,,,,,,,
canned beer,brown bread,,,,,,,,,
pet care,pip fruit,candy,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
rolls/buns,grapes,,,,,,,,,
sausage,cream,,,,,,,,,
ice cream,whole milk,,,,,,,,,
rolls/buns,yogurt,shopping bags,,,,,,,,
other vegetables,margarine,,,,,,,,,
pip fruit,canned vegetables,cling film/bags,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
frankfurter,root vegetables,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
beef,butter,,,,,,,,,
hard cheese,whole milk,,,,,,,,,
cat food,male cosmetics,,,,,,,,,
butter,specialty chocolate,,,,,,,,,
curd,whole milk,bottled water,,,,,,,,
Instant food products,white bread,semi-finished bread,,,,,,,,
candy,citrus fruit,pasta,soda,,,,,,,
rolls/buns,hamburger meat,,,,,,,,,
dessert,curd,whole milk,bottled water,,,,,,,
rolls/buns,other vegetables,pastry,,,,,,,,
specialty chocolate,vinegar,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
coffee,rolls/buns,soda,,,,,,,,
curd,domestic eggs,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
white bread,pip fruit,,,,,,,,,
mayonnaise,curd,,,,,,,,,
dessert,berries,newspapers,onions,,,,,,,
whole milk,misc. beverages,,,,,,,,,
butter,tropical fruit,,,,,,,,,
domestic eggs,butter,,,,,,,,,
processed cheese,dishes,,,,,,,,,
white bread,seasonal products,,,,,,,,,
hamburger meat,tidbits,,,,,,,,,
sausage,white bread,,,,,,,,,
whole milk,whole milk,,,,,,,,,
canned beer,whole milk,,,,,,,,,
butter milk,bottled beer,,,,,,,,,
dessert,citrus fruit,,,,,,,,,
beverages,hamburger meat,other vegetables,canned beer,,,,,,,
oil,butter,,,,,,,,,
sausage,yogurt,pastry,,,,,,,,
skin care,oil,,,,,,,,,
pip fruit,newspapers,,,,,,,,,
curd cheese,sausage,bottled water,napkins,,,,,,,
root vegetables,processed cheese,,,,,,,,,
chicken,coffee,newspapers,,,,,,,,
yogurt,yogurt,cream cheese ,,,,,,,,
sliced cheese,shopping bags,,,,,,,,,
grapes,shopping bags,artif. sweetener,,,,,,,,
bottled water,root vegetables,rolls/buns,whole milk,coffee,,,,,,
canned beer,citrus fruit,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
hygiene articles,yogurt,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
butter,onions,napkins,,,,,,,,
pickled vegetables,soda,chewing gum,yogurt,,,,,,,
root vegetables,rolls/buns,bottled beer,rolls/buns,,,,,,,
citrus fruit,whole milk,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
chocolate,whipped/sour cream,rolls/buns,,,,,,,,
whole milk,pasta,,,,,,,,,
seasonal products,whole milk,,,,,,,,,
pork,pasta,fruit/vegetable juice,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
tropical fruit,frozen meals,yogurt,other vegetables,,,,,,,
coffee,soda,photo/film,domestic eggs,,,,,,,
other vegetables,beverages,margarine,,,,,,,,
beverages,soda,,,,,,,,,
canned beer,yogurt,bottled water,,,,,,,,
root vegetables,white wine,liquor (appetizer),,,,,,,,
beef,soda,,,,,,,,,
hamburger meat,other vegetables,chocolate marshmallow,,,,,,,,
other vegetables,whole milk,light bulbs,canned beer,,,,,,,
pastry,bottled beer,,,,,,,,,
meat,coffee,,,,,,,,,
whisky,shopping bags,rum,,,,,,,,
tropical fruit,curd,salt,bottled water,,,,,,,
hamburger meat,root vegetables,bottled beer,,,,,,,,
frankfurter,chocolate,,,,,,,,,
long life bakery product,butter milk,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
butter,citrus fruit,brown bread,pork,shopping bags,hygiene articles,dessert,whole milk,,,
frankfurter,root vegetables,,,,,,,,,
soda,pip fruit,,,,,,,,,
sausage,soda,,,,,,,,,
frankfurter,rolls/buns,newspapers,waffles,,,,,,,
other vegetables,whole milk,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
sausage,other vegetables,,,,,,,,,
pastry,waffles,other vegetables,whole milk,dental care,house keeping products,frozen vegetables,,,,
citrus fruit,sausage,whole milk,canned beer,,,,,,,
domestic eggs,candy,,,,,,,,,
domestic eggs,newspapers,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
sausage,tropical fruit,bottled beer,fruit/vegetable juice,,,,,,,
